;Type;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Components
190;ICC2k;Average random raters;0.90871;10.872345;42;126;0.0;[0.85 0.95];Preprocessed data;Control;gamma;C20
191;ICC3k;Average fixed raters;0.908024;10.872345;42;126;0.0;[0.85 0.95];Preprocessed data;Control;gamma;C20
192;ICC1;Single raters absolute;0.516944;5.280615;42;129;0.0;[0.37 0.67];Preprocessed data;Control;delta;C22
193;ICC2;Single random raters;0.521076;5.686885;42;126;0.0;[0.37 0.67];Preprocessed data;Control;delta;C22
194;ICC3;Single fixed raters;0.539536;5.686885;42;126;0.0;[0.39 0.68];Preprocessed data;Control;delta;C22
195;ICC1k;Average raters absolute;0.810628;5.280615;42;129;0.0;[0.7  0.89];Preprocessed data;Control;delta;C22
196;ICC2k;Average random raters;0.813156;5.686885;42;126;0.0;[0.7  0.89];Preprocessed data;Control;delta;C22
197;ICC3k;Average fixed raters;0.824157;5.686885;42;126;0.0;[0.72 0.9 ];Preprocessed data;Control;delta;C22
198;ICC1;Single raters absolute;0.82776;20.223417;42;129;0.0;[0.75 0.89];Preprocessed data;Control;theta;C22
199;ICC2;Single random raters;0.827942;20.733966;42;126;0.0;[0.75 0.89];Preprocessed data;Control;theta;C22
200;ICC3;Single fixed raters;0.831465;20.733966;42;126;0.0;[0.75 0.9 ];Preprocessed data;Control;theta;C22
201;ICC1k;Average raters absolute;0.950552;20.223417;42;129;0.0;[0.92 0.97];Preprocessed data;Control;theta;C22
202;ICC2k;Average random raters;0.950613;20.733966;42;126;0.0;[0.92 0.97];Preprocessed data;Control;theta;C22
203;ICC3k;Average fixed raters;0.95177;20.733966;42;126;0.0;[0.92 0.97];Preprocessed data;Control;theta;C22
204;ICC1;Single raters absolute;0.740913;12.438858;42;129;0.0;[0.63 0.83];Preprocessed data;Control;alpha-1;C22
205;ICC2;Single random raters;0.741908;13.225974;42;126;0.0;[0.63 0.84];Preprocessed data;Control;alpha-1;C22
206;ICC3;Single fixed raters;0.753482;13.225974;42;126;0.0;[0.65 0.84];Preprocessed data;Control;alpha-1;C22
207;ICC1k;Average raters absolute;0.919607;12.438858;42;129;0.0;[0.87 0.95];Preprocessed data;Control;alpha-1;C22
208;ICC2k;Average random raters;0.91999;13.225974;42;126;0.0;[0.87 0.95];Preprocessed data;Control;alpha-1;C22
209;ICC3k;Average fixed raters;0.924391;13.225974;42;126;0.0;[0.88 0.96];Preprocessed data;Control;alpha-1;C22
210;ICC1;Single raters absolute;0.817116;18.871828;42;129;0.0;[0.73 0.89];Preprocessed data;Control;alpha-2;C22
211;ICC2;Single random raters;0.8172;19.061798;42;126;0.0;[0.73 0.89];Preprocessed data;Control;alpha-2;C22
212;ICC3;Single fixed raters;0.818691;19.061798;42;126;0.0;[0.73 0.89];Preprocessed data;Control;alpha-2;C22
213;ICC1k;Average raters absolute;0.947011;18.871828;42;129;0.0;[0.92 0.97];Preprocessed data;Control;alpha-2;C22
214;ICC2k;Average random raters;0.947039;19.061798;42;126;0.0;[0.92 0.97];Preprocessed data;Control;alpha-2;C22
215;ICC3k;Average fixed raters;0.947539;19.061798;42;126;0.0;[0.92 0.97];Preprocessed data;Control;alpha-2;C22
216;ICC1;Single raters absolute;0.791407;16.176138;42;129;0.0;[0.7  0.87];Preprocessed data;Control;beta1;C22
217;ICC2;Single random raters;0.791472;16.272631;42;126;0.0;[0.7  0.87];Preprocessed data;Control;beta1;C22
218;ICC3;Single fixed raters;0.792452;16.272631;42;126;0.0;[0.7  0.87];Preprocessed data;Control;beta1;C22
219;ICC1k;Average raters absolute;0.938181;16.176138;42;129;0.0;[0.9  0.96];Preprocessed data;Control;beta1;C22
220;ICC2k;Average random raters;0.938203;16.272631;42;126;0.0;[0.9  0.96];Preprocessed data;Control;beta1;C22
221;ICC3k;Average fixed raters;0.938547;16.272631;42;126;0.0;[0.9  0.96];Preprocessed data;Control;beta1;C22
222;ICC1;Single raters absolute;0.798405;16.841786;42;129;0.0;[0.71 0.87];Preprocessed data;Control;beta2;C22
223;ICC2;Single random raters;0.798668;17.289566;42;126;0.0;[0.71 0.87];Preprocessed data;Control;beta2;C22
224;ICC3;Single fixed raters;0.802854;17.289566;42;126;0.0;[0.71 0.88];Preprocessed data;Control;beta2;C22
225;ICC1k;Average raters absolute;0.940624;16.841786;42;129;0.0;[0.91 0.97];Preprocessed data;Control;beta2;C22
226;ICC2k;Average random raters;0.940715;17.289566;42;126;0.0;[0.91 0.97];Preprocessed data;Control;beta2;C22
227;ICC3k;Average fixed raters;0.942162;17.289566;42;126;0.0;[0.91 0.97];Preprocessed data;Control;beta2;C22
228;ICC1;Single raters absolute;0.82248;19.532712;42;129;0.0;[0.74 0.89];Preprocessed data;Control;beta3;C22
229;ICC2;Single random raters;0.822432;19.413925;42;126;0.0;[0.74 0.89];Preprocessed data;Control;beta3;C22
230;ICC3;Single fixed raters;0.82154;19.413925;42;126;0.0;[0.74 0.89];Preprocessed data;Control;beta3;C22
231;ICC1k;Average raters absolute;0.948804;19.532712;42;129;0.0;[0.92 0.97];Preprocessed data;Control;beta3;C22
232;ICC2k;Average random raters;0.948788;19.413925;42;126;0.0;[0.92 0.97];Preprocessed data;Control;beta3;C22
233;ICC3k;Average fixed raters;0.948491;19.413925;42;126;0.0;[0.92 0.97];Preprocessed data;Control;beta3;C22
234;ICC1;Single raters absolute;0.757102;13.46784;42;129;0.0;[0.65 0.85];Preprocessed data;Control;gamma;C22
235;ICC2;Single random raters;0.756828;13.222169;42;126;0.0;[0.65 0.85];Preprocessed data;Control;gamma;C22
236;ICC3;Single fixed raters;0.753424;13.222169;42;126;0.0;[0.65 0.84];Preprocessed data;Control;gamma;C22
237;ICC1k;Average raters absolute;0.925749;13.46784;42;129;0.0;[0.88 0.96];Preprocessed data;Control;gamma;C22
238;ICC2k;Average random raters;0.925646;13.222169;42;126;0.0;[0.88 0.96];Preprocessed data;Control;gamma;C22
239;ICC3k;Average fixed raters;0.924369;13.222169;42;126;0.0;[0.88 0.96];Preprocessed data;Control;gamma;C22
240;ICC1;Single raters absolute;0.432155;4.044176;42;129;0.0;[0.28 0.59];Preprocessed data;Control;delta;C23
241;ICC2;Single random raters;0.442112;4.62573;42;126;0.0;[0.29 0.6 ];Preprocessed data;Control;delta;C23
242;ICC3;Single fixed raters;0.47546;4.62573;42;126;0.0;[0.32 0.63];Preprocessed data;Control;delta;C23
243;ICC1k;Average raters absolute;0.752731;4.044176;42;129;0.0;[0.61 0.85];Preprocessed data;Control;delta;C23
244;ICC2k;Average random raters;0.760186;4.62573;42;126;0.0;[0.61 0.86];Preprocessed data;Control;delta;C23
245;ICC3k;Average fixed raters;0.783818;4.62573;42;126;0.0;[0.65 0.87];Preprocessed data;Control;delta;C23
246;ICC1;Single raters absolute;0.750044;13.002841;42;129;0.0;[0.64 0.84];Preprocessed data;Control;theta;C23
247;ICC2;Single random raters;0.751243;14.088903;42;126;0.0;[0.64 0.84];Preprocessed data;Control;theta;C23
248;ICC3;Single fixed raters;0.76593;14.088903;42;126;0.0;[0.66 0.85];Preprocessed data;Control;theta;C23
249;ICC1k;Average raters absolute;0.923094;13.002841;42;129;0.0;[0.88 0.95];Preprocessed data;Control;theta;C23
250;ICC2k;Average random raters;0.923547;14.088903;42;126;0.0;[0.88 0.96];Preprocessed data;Control;theta;C23
251;ICC3k;Average fixed raters;0.929022;14.088903;42;126;0.0;[0.89 0.96];Preprocessed data;Control;theta;C23
252;ICC1;Single raters absolute;0.599638;6.990949;42;129;0.0;[0.46 0.73];Preprocessed data;Control;alpha-1;C23
253;ICC2;Single random raters;0.604923;8.069498;42;126;0.0;[0.46 0.74];Preprocessed data;Control;alpha-1;C23
254;ICC3;Single fixed raters;0.638647;8.069498;42;126;0.0;[0.5  0.76];Preprocessed data;Control;alpha-1;C23
255;ICC1k;Average raters absolute;0.856958;6.990949;42;129;0.0;[0.77 0.92];Preprocessed data;Control;alpha-1;C23
256;ICC2k;Average random raters;0.859641;8.069498;42;126;0.0;[0.77 0.92];Preprocessed data;Control;alpha-1;C23
257;ICC3k;Average fixed raters;0.876077;8.069498;42;126;0.0;[0.8  0.93];Preprocessed data;Control;alpha-1;C23
258;ICC1;Single raters absolute;0.684393;9.673991;42;129;0.0;[0.56 0.79];Preprocessed data;Control;alpha-2;C23
259;ICC2;Single random raters;0.685574;10.157678;42;126;0.0;[0.56 0.8 ];Preprocessed data;Control;alpha-2;C23
260;ICC3;Single fixed raters;0.695995;10.157678;42;126;0.0;[0.57 0.8 ];Preprocessed data;Control;alpha-2;C23
261;ICC1k;Average raters absolute;0.89663;9.673991;42;129;0.0;[0.84 0.94];Preprocessed data;Control;alpha-2;C23
262;ICC2k;Average random raters;0.897136;10.157678;42;126;0.0;[0.84 0.94];Preprocessed data;Control;alpha-2;C23
263;ICC3k;Average fixed raters;0.901552;10.157678;42;126;0.0;[0.84 0.94];Preprocessed data;Control;alpha-2;C23
264;ICC1;Single raters absolute;0.65861;8.716813;42;129;0.0;[0.53 0.78];Preprocessed data;Control;beta1;C23
265;ICC2;Single random raters;0.658046;8.551565;42;126;0.0;[0.53 0.78];Preprocessed data;Control;beta1;C23
266;ICC3;Single fixed raters;0.653727;8.551565;42;126;0.0;[0.52 0.77];Preprocessed data;Control;beta1;C23
267;ICC1k;Average raters absolute;0.885279;8.716813;42;129;0.0;[0.82 0.93];Preprocessed data;Control;beta1;C23
268;ICC2k;Average random raters;0.885024;8.551565;42;126;0.0;[0.82 0.93];Preprocessed data;Control;beta1;C23
269;ICC3k;Average fixed raters;0.883062;8.551565;42;126;0.0;[0.81 0.93];Preprocessed data;Control;beta1;C23
270;ICC1;Single raters absolute;0.68857;9.843987;42;129;0.0;[0.56 0.8 ];Preprocessed data;Control;beta2;C23
271;ICC2;Single random raters;0.689255;10.130754;42;126;0.0;[0.56 0.8 ];Preprocessed data;Control;beta2;C23
272;ICC3;Single fixed raters;0.695372;10.130754;42;126;0.0;[0.57 0.8 ];Preprocessed data;Control;beta2;C23
273;ICC1k;Average raters absolute;0.898415;9.843987;42;129;0.0;[0.84 0.94];Preprocessed data;Control;beta2;C23
274;ICC2k;Average random raters;0.898706;10.130754;42;126;0.0;[0.84 0.94];Preprocessed data;Control;beta2;C23
275;ICC3k;Average fixed raters;0.901291;10.130754;42;126;0.0;[0.84 0.94];Preprocessed data;Control;beta2;C23
276;ICC1;Single raters absolute;0.710566;10.820089;42;129;0.0;[0.59 0.81];Preprocessed data;Control;beta3;C23
277;ICC2;Single random raters;0.711251;11.186588;42;126;0.0;[0.59 0.81];Preprocessed data;Control;beta3;C23
278;ICC3;Single fixed raters;0.718044;11.186588;42;126;0.0;[0.6  0.82];Preprocessed data;Control;beta3;C23
279;ICC1k;Average raters absolute;0.907579;10.820089;42;129;0.0;[0.85 0.95];Preprocessed data;Control;beta3;C23
280;ICC2k;Average random raters;0.907858;11.186588;42;126;0.0;[0.85 0.95];Preprocessed data;Control;beta3;C23
281;ICC3k;Average fixed raters;0.910607;11.186588;42;126;0.0;[0.86 0.95];Preprocessed data;Control;beta3;C23
282;ICC1;Single raters absolute;0.75353;13.229155;42;129;0.0;[0.65 0.84];Preprocessed data;Control;gamma;C23
283;ICC2;Single random raters;0.75399;13.642797;42;126;0.0;[0.65 0.84];Preprocessed data;Control;gamma;C23
284;ICC3;Single fixed raters;0.759656;13.642797;42;126;0.0;[0.65 0.85];Preprocessed data;Control;gamma;C23
285;ICC1k;Average raters absolute;0.924409;13.229155;42;129;0.0;[0.88 0.96];Preprocessed data;Control;gamma;C23
286;ICC2k;Average random raters;0.924582;13.642797;42;126;0.0;[0.88 0.96];Preprocessed data;Control;gamma;C23
287;ICC3k;Average fixed raters;0.926701;13.642797;42;126;0.0;[0.88 0.96];Preprocessed data;Control;gamma;C23
288;ICC1;Single raters absolute;0.4438;4.191656;42;129;0.0;[0.29 0.6 ];Preprocessed data;Control;delta;C24
289;ICC2;Single random raters;0.449081;4.502009;42;126;0.0;[0.3  0.61];Preprocessed data;Control;delta;C24
290;ICC3;Single fixed raters;0.466809;4.502009;42;126;0.0;[0.31 0.62];Preprocessed data;Control;delta;C24
291;ICC1k;Average raters absolute;0.761431;4.191656;42;129;0.0;[0.62 0.86];Preprocessed data;Control;delta;C24
292;ICC2k;Average random raters;0.765291;4.502009;42;126;0.0;[0.63 0.86];Preprocessed data;Control;delta;C24
293;ICC3k;Average fixed raters;0.777877;4.502009;42;126;0.0;[0.65 0.87];Preprocessed data;Control;delta;C24
294;ICC1;Single raters absolute;0.858746;25.317792;42;129;0.0;[0.79 0.91];Preprocessed data;Control;theta;C24
295;ICC2;Single random raters;0.85899;26.620817;42;126;0.0;[0.79 0.91];Preprocessed data;Control;theta;C24
296;ICC3;Single fixed raters;0.86496;26.620817;42;126;0.0;[0.8  0.92];Preprocessed data;Control;theta;C24
297;ICC1k;Average raters absolute;0.960502;25.317792;42;129;0.0;[0.94 0.98];Preprocessed data;Control;theta;C24
298;ICC2k;Average random raters;0.960578;26.620817;42;126;0.0;[0.94 0.98];Preprocessed data;Control;theta;C24
299;ICC3k;Average fixed raters;0.962435;26.620817;42;126;0.0;[0.94 0.98];Preprocessed data;Control;theta;C24
300;ICC1;Single raters absolute;0.745394;12.710564;42;129;0.0;[0.64 0.84];Preprocessed data;Control;alpha-1;C24
301;ICC2;Single random raters;0.747064;14.18176;42;126;0.0;[0.63 0.84];Preprocessed data;Control;alpha-1;C24
302;ICC3;Single fixed raters;0.767195;14.18176;42;126;0.0;[0.66 0.85];Preprocessed data;Control;alpha-1;C24
303;ICC1k;Average raters absolute;0.921325;12.710564;42;129;0.0;[0.87 0.95];Preprocessed data;Control;alpha-1;C24
304;ICC2k;Average random raters;0.921962;14.18176;42;126;0.0;[0.87 0.95];Preprocessed data;Control;alpha-1;C24
305;ICC3k;Average fixed raters;0.929487;14.18176;42;126;0.0;[0.89 0.96];Preprocessed data;Control;alpha-1;C24
306;ICC1;Single raters absolute;0.7263;11.614548;42;129;0.0;[0.61 0.82];Preprocessed data;Control;alpha-2;C24
307;ICC2;Single random raters;0.727057;12.104816;42;126;0.0;[0.61 0.82];Preprocessed data;Control;alpha-2;C24
308;ICC3;Single fixed raters;0.735184;12.104816;42;126;0.0;[0.62 0.83];Preprocessed data;Control;alpha-2;C24
309;ICC1k;Average raters absolute;0.913901;11.614548;42;129;0.0;[0.86 0.95];Preprocessed data;Control;alpha-2;C24
310;ICC2k;Average random raters;0.9142;12.104816;42;126;0.0;[0.86 0.95];Preprocessed data;Control;alpha-2;C24
311;ICC3k;Average fixed raters;0.917388;12.104816;42;126;0.0;[0.87 0.95];Preprocessed data;Control;alpha-2;C24
312;ICC1;Single raters absolute;0.744519;12.65675;42;129;0.0;[0.63 0.84];Preprocessed data;Control;beta1;C24
313;ICC2;Single random raters;0.744668;12.773685;42;126;0.0;[0.63 0.84];Preprocessed data;Control;beta1;C24
314;ICC3;Single fixed raters;0.746413;12.773685;42;126;0.0;[0.64 0.84];Preprocessed data;Control;beta1;C24
315;ICC1k;Average raters absolute;0.920991;12.65675;42;129;0.0;[0.87 0.95];Preprocessed data;Control;beta1;C24
316;ICC2k;Average random raters;0.921048;12.773685;42;126;0.0;[0.87 0.95];Preprocessed data;Control;beta1;C24
317;ICC3k;Average fixed raters;0.921714;12.773685;42;126;0.0;[0.88 0.95];Preprocessed data;Control;beta1;C24
318;ICC1;Single raters absolute;0.791867;16.218462;42;129;0.0;[0.7  0.87];Preprocessed data;Control;beta2;C24
319;ICC2;Single random raters;0.791617;15.853222;42;126;0.0;[0.7  0.87];Preprocessed data;Control;beta2;C24
320;ICC3;Single fixed raters;0.787835;15.853222;42;126;0.0;[0.69 0.87];Preprocessed data;Control;beta2;C24
321;ICC1k;Average raters absolute;0.938342;16.218462;42;129;0.0;[0.9  0.96];Preprocessed data;Control;beta2;C24
322;ICC2k;Average random raters;0.938254;15.853222;42;126;0.0;[0.9  0.96];Preprocessed data;Control;beta2;C24
323;ICC3k;Average fixed raters;0.936921;15.853222;42;126;0.0;[0.9  0.96];Preprocessed data;Control;beta2;C24
324;ICC1;Single raters absolute;0.83288;20.934836;42;129;0.0;[0.75 0.9 ];Preprocessed data;Control;beta3;C24
325;ICC2;Single random raters;0.833216;21.997592;42;126;0.0;[0.75 0.9 ];Preprocessed data;Control;beta3;C24
326;ICC3;Single fixed raters;0.839985;21.997592;42;126;0.0;[0.76 0.9 ];Preprocessed data;Control;beta3;C24
327;ICC1k;Average raters absolute;0.952233;20.934836;42;129;0.0;[0.92 0.97];Preprocessed data;Control;beta3;C24
328;ICC2k;Average random raters;0.952343;21.997592;42;126;0.0;[0.92 0.97];Preprocessed data;Control;beta3;C24
329;ICC3k;Average fixed raters;0.95454;21.997592;42;126;0.0;[0.93 0.97];Preprocessed data;Control;beta3;C24
330;ICC1;Single raters absolute;0.820082;19.232331;42;129;0.0;[0.73 0.89];Preprocessed data;Control;gamma;C24
331;ICC2;Single random raters;0.820251;19.6426;42;126;0.0;[0.73 0.89];Preprocessed data;Control;gamma;C24
332;ICC3;Single fixed raters;0.823342;19.6426;42;126;0.0;[0.74 0.89];Preprocessed data;Control;gamma;C24
333;ICC1k;Average raters absolute;0.948004;19.232331;42;129;0.0;[0.92 0.97];Preprocessed data;Control;gamma;C24
334;ICC2k;Average random raters;0.948061;19.6426;42;126;0.0;[0.92 0.97];Preprocessed data;Control;gamma;C24
335;ICC3k;Average fixed raters;0.94909;19.6426;42;126;0.0;[0.92 0.97];Preprocessed data;Control;gamma;C24
336;ICC1;Single raters absolute;0.433199;4.057155;42;129;0.0;[0.28 0.6 ];Preprocessed data;Control;delta;C25
337;ICC2;Single random raters;0.43751;4.289114;42;126;0.0;[0.28 0.6 ];Preprocessed data;Control;delta;C25
338;ICC3;Single fixed raters;0.451236;4.289114;42;126;0.0;[0.3  0.61];Preprocessed data;Control;delta;C25
339;ICC1k;Average raters absolute;0.753522;4.057155;42;129;0.0;[0.61 0.85];Preprocessed data;Control;delta;C25
340;ICC2k;Average random raters;0.756764;4.289114;42;126;0.0;[0.61 0.86];Preprocessed data;Control;delta;C25
341;ICC3k;Average fixed raters;0.766852;4.289114;42;126;0.0;[0.63 0.86];Preprocessed data;Control;delta;C25
342;ICC1;Single raters absolute;0.803027;17.307363;42;129;0.0;[0.71 0.88];Preprocessed data;Control;theta;C25
343;ICC2;Single random raters;0.804378;20.130326;42;126;0.0;[0.7  0.88];Preprocessed data;Control;theta;C25
344;ICC3;Single fixed raters;0.827067;20.130326;42;126;0.0;[0.74 0.89];Preprocessed data;Control;theta;C25
345;ICC1k;Average raters absolute;0.942221;17.307363;42;129;0.0;[0.91 0.97];Preprocessed data;Control;theta;C25
346;ICC2k;Average random raters;0.942686;20.130326;42;126;0.0;[0.9  0.97];Preprocessed data;Control;theta;C25
347;ICC3k;Average fixed raters;0.950324;20.130326;42;126;0.0;[0.92 0.97];Preprocessed data;Control;theta;C25
348;ICC1;Single raters absolute;0.694321;10.085609;42;129;0.0;[0.57 0.8 ];Preprocessed data;Control;alpha-1;C25
349;ICC2;Single random raters;0.695197;10.480025;42;126;0.0;[0.57 0.8 ];Preprocessed data;Control;alpha-1;C25
350;ICC3;Single fixed raters;0.703265;10.480025;42;126;0.0;[0.58 0.81];Preprocessed data;Control;alpha-1;C25
351;ICC1k;Average raters absolute;0.900849;10.085609;42;129;0.0;[0.84 0.94];Preprocessed data;Control;alpha-1;C25
352;ICC2k;Average random raters;0.901217;10.480025;42;126;0.0;[0.84 0.94];Preprocessed data;Control;alpha-1;C25
353;ICC3k;Average fixed raters;0.90458;10.480025;42;126;0.0;[0.85 0.94];Preprocessed data;Control;alpha-1;C25
354;ICC1;Single raters absolute;0.758321;13.550864;42;129;0.0;[0.65 0.85];Preprocessed data;Control;alpha-2;C25
355;ICC2;Single random raters;0.75847;13.691174;42;126;0.0;[0.65 0.85];Preprocessed data;Control;alpha-2;C25
356;ICC3;Single fixed raters;0.760352;13.691174;42;126;0.0;[0.65 0.85];Preprocessed data;Control;alpha-2;C25
357;ICC1k;Average raters absolute;0.926204;13.550864;42;129;0.0;[0.88 0.96];Preprocessed data;Control;alpha-2;C25
358;ICC2k;Average random raters;0.92626;13.691174;42;126;0.0;[0.88 0.96];Preprocessed data;Control;alpha-2;C25
359;ICC3k;Average fixed raters;0.92696;13.691174;42;126;0.0;[0.88 0.96];Preprocessed data;Control;alpha-2;C25
360;ICC1;Single raters absolute;0.718064;11.18762;42;129;0.0;[0.6  0.82];Preprocessed data;Control;beta1;C25
361;ICC2;Single random raters;0.717956;11.12728;42;126;0.0;[0.6  0.82];Preprocessed data;Control;beta1;C25
362;ICC3;Single fixed raters;0.71686;11.12728;42;126;0.0;[0.6  0.82];Preprocessed data;Control;beta1;C25
363;ICC1k;Average raters absolute;0.910615;11.18762;42;129;0.0;[0.86 0.95];Preprocessed data;Control;beta1;C25
364;ICC2k;Average random raters;0.910572;11.12728;42;126;0.0;[0.86 0.95];Preprocessed data;Control;beta1;C25
365;ICC3k;Average fixed raters;0.910131;11.12728;42;126;0.0;[0.86 0.95];Preprocessed data;Control;beta1;C25
366;ICC1;Single raters absolute;0.855287;24.640924;42;129;0.0;[0.78 0.91];Preprocessed data;Control;beta2;C25
367;ICC2;Single random raters;0.85577;27.151901;42;126;0.0;[0.78 0.91];Preprocessed data;Control;beta2;C25
368;ICC3;Single fixed raters;0.867338;27.151901;42;126;0.0;[0.8  0.92];Preprocessed data;Control;beta2;C25
369;ICC1k;Average raters absolute;0.959417;24.640924;42;129;0.0;[0.94 0.98];Preprocessed data;Control;beta2;C25
370;ICC2k;Average random raters;0.959569;27.151901;42;126;0.0;[0.93 0.98];Preprocessed data;Control;beta2;C25
371;ICC3k;Average fixed raters;0.96317;27.151901;42;126;0.0;[0.94 0.98];Preprocessed data;Control;beta2;C25
372;ICC1;Single raters absolute;0.898856;36.547537;42;129;0.0;[0.85 0.94];Preprocessed data;Control;beta3;C25
373;ICC2;Single random raters;0.898806;35.841647;42;126;0.0;[0.85 0.94];Preprocessed data;Control;beta3;C25
374;ICC3;Single fixed raters;0.897018;35.841647;42;126;0.0;[0.84 0.94];Preprocessed data;Control;beta3;C25
375;ICC1k;Average raters absolute;0.972638;36.547537;42;129;0.0;[0.96 0.98];Preprocessed data;Control;beta3;C25
376;ICC2k;Average random raters;0.972624;35.841647;42;126;0.0;[0.96 0.98];Preprocessed data;Control;beta3;C25
377;ICC3k;Average fixed raters;0.972099;35.841647;42;126;0.0;[0.96 0.98];Preprocessed data;Control;beta3;C25
378;ICC1;Single raters absolute;0.842986;22.475445;42;129;0.0;[0.77 0.9 ];Preprocessed data;Control;gamma;C25
379;ICC2;Single random raters;0.842914;22.217202;42;126;0.0;[0.77 0.9 ];Preprocessed data;Control;gamma;C25
